CHAPINERO - ALTO								
IV	1024359	1033755	1571429	2611940	3204444	3662281	2973447	 - 
CENTRO - SECTOR CENTRO INTERNACIONAL								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	2765700	3045238	3750000	3694836	4014228	4588608	6231183	5037037
II	2864758	2766667	3619048	3751174	4186992	5039474	5946970	5294118
III	3021739	2925307	3676190	4255869	5030488	5685714	5776804	5640000
IV	2309179	3321429	3190476	4201878	4367886	5981433	6133515	 - 
CHAPINERO - SECTOR LA SOLEDAD								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	2066194	2240196	2678571	2534259	2443694	4027778	4166667	4000000
II	2091101	1926471	2452381	2847222	2484234	4130774	4318264	4433078
III	2182033	1928922	2428571	2604167	3333333	3875000	4291987	4428571
IV	2146572	1776961	2126190	2046296	3108108	4205882	4053452	 - 
CHAPINERO - SECTOR CHAPINERO TRADICIONAL								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	1700680	1847826	2386091	2770045	2024548	3815657	3578431	4761905
II	2054422	2086957	2290168	2910053	2994832	4323671	3908046	4733206
III	1988662	1746377	2278177	3137566	2914729	4085859	3876147	4556813
IV	1995465	1787198	2292566	3134921	3173127	4006926	3756487	 - 
OCCIDENTE - SECTOR KENNEDY Y MANDALAY								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	1518817	1551913	1954023	1913580	2349057	2440476	2487654	2586207
II	1534946	1489071	1758621	2012346	2402516	2608025	2654321	2777778
III	1682796	1398907	1841954	2240741	2679245	2591195	2627329	2837838
IV	1478495	1562842	1925287	2222222	2455975	2583333	2802432	 - 
OCCIDENTE - SECTOR FONTIBÓN Y TINTAL								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	2027363	2082090	2215686	2789216	2987745	3697917	3437500	3759124
II	1967662	2089552	2482843	2794118	3421569	3652174	3865482	3776119
III	2124378	2062189	2556373	2987745	3321078	3897849	3712871	4075098
IV	1967662	2300995	2416667	2772059	2980392	3498756	3845000	 - 
OCCIDENTE - SECTOR ENGATIVÁ								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	1558974	1500000	1889744	2213542	2447917	2893229	2981771	3312500
II	1446154	1807692	1907692	2278646	2606771	3080538	3064516	3375000
III	1512821	1753846	1979487	2385417	2526042	3115385	3292079	3220339
IV	1579487	1677949	1833333	2604167	2752604	3140000	3426997	 - 
OCCIDENTE - SECTOR CENTRO NARIÑO Y QUINTA PAREDES								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	2187500	2062500	2843882	3244048	4120370	3827519	4429825	4687500
II	2112500	2222917	2827004	3527778	3773148	4648148	4423077	4248555
III	1937500	2239583	2856540	2962302	3699074	4002604	3900000	5089744
IV	1941667	2364583	1352532	3303571	4293981	4247863	4235294	 - 
OCCIDENTE - SECTOR CASTILLA Y MARSELLA								
Trismestre	2010	2011	2012	2014	2015	2016	2017	2018
I	1720430	1927419	2225806	2341398	2686782	2961749	3233333	3886111
II	1763441	1932796	2163978	2534946	2729885	3179487	3472222	3898305
III	1836022	2013441	2327957	2543011	2742787	3541667	3363000	4058736
IV	1795699	2024194	2190860	2580645	2810345	3010929	3656250	 - 
